datum;nachname;anzahl;jahr
2021-12-31;Estermann;23;2021
2019-12-31;Yarasir;7;2019
2012-12-31;Seifert;21;2012
2021-12-31;Lorenzini;6;2021
2015-12-31;Bruderer;23;2015
2015-12-31;Radina;5;2015
2011-12-31;Waltenspül;11;2011
2019-12-31;El Attar;4;2019
2018-12-31;Holdener;10;2018
2012-12-31;Karli;13;2012
2012-12-31;Giller;7;2012
2022-12-31;Rahman;16;2022
2022-12-31;Yurik;4;2022
2016-12-31;Patterson;4;2016
2016-12-31;Decarolis;4;2016
2014-12-31;Zehntner;10;2014
2017-12-31;Walser;24;2017
2020-12-31;Leisinger;13;2020
2014-12-31;Andrejco;4;2014
2020-12-31;Bitiq;11;2020
2014-12-31;Crespo;4;2014
2021-12-31;Cevik;7;2021
2016-12-31;Diriwächter;9;2016
2016-12-31;Miserez;6;2016
2015-12-31;Steinemann;19;2015
2018-12-31;Tzikas;4;2018
2017-12-31;Valeri;4;2017
2017-12-31;Guye;5;2017
2022-12-31;Dani;6;2022
2016-12-31;Schwizer;14;2016
2016-12-31;Payyappilly;4;2016
2017-12-31;Herbert;4;2017
2021-12-31;Recher;14;2021
2019-12-31;Sernikli;7;2019
2018-12-31;Haltinner;4;2018
2011-12-31;Breitenfeld;11;2011
2016-12-31;Sciré;7;2016
2019-12-31;Lincke;4;2019
2014-12-31;Winzeler;11;2014
2012-12-31;Makragic;5;2012
2022-12-31;Nobel;8;2022
2015-12-31;Burgunder;18;2015
2015-12-31;Korkutan;4;2015
2011-12-31;Büttiker;16;2011
2013-12-31;Valentin;12;2013
2016-12-31;Olloni;8;2016
2014-12-31;Huser;37;2014
2022-12-31;Guggisberg;28;2022
2020-12-31;Zekiri;10;2020
2011-12-31;Thörig;4;2011
2015-12-31;Sallauka;4;2015
2019-12-31;Bosshard;39;2019
2014-12-31;Karan;8;2014
2020-12-31;Stiffler;4;2020
2011-12-31;Poffet;4;2011
2021-12-31;Zór;4;2021
2022-12-31;Baskaran;8;2022
2021-12-31;Bahadur;4;2021
2013-12-31;Zeuggin;4;2013
2022-12-31;Reiner;13;2022
2018-12-31;Iff;13;2018
2017-12-31;Gorgerat;8;2017
2017-12-31;Lattmann;8;2017
2015-12-31;Corrales;4;2015
2019-12-31;Kling;4;2019
2021-12-31;Baro;4;2021
2011-12-31;Wetterwald;5;2011
2017-12-31;Lempen;4;2017
2014-12-31;Teuscher;12;2014
2015-12-31;Carrillo;9;2015
2012-12-31;Comic;16;2012
2022-12-31;Biri;5;2022
2014-12-31;Tarnutzer;6;2014
2018-12-31;Colic;4;2018
2016-12-31;Calicchio;4;2016
2020-12-31;Karypidis;4;2020
2022-12-31;Yeboah;4;2022
2020-12-31;Teklia;4;2020
2019-12-31;Camuto;10;2019
